event_id,state_code,latitude,longitude,event_date,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,admin_division_name,location_description
7388,3,24.416,94.0984,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,Senam
7375,3,25.1941,94.4481,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,Ukhrul NH 201-Jessami road
7371,3,23.9939,94.0573,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,near S Lamphei Lamkhai and Sehlon village
7374,3,25.1122,94.3591,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,Ukhrul town Circular road from Rayotang to Viewland Zone II
7387,3,24.954,94.2156,2015-08-01 00:00:00,landslide,continuous_rain,small,0,0,Manipur,Imphal-Ukhrul road
7389,3,24.4072,94.0644,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,between Bongyang and Lokchao along the Imphal-Moreh highway
7373,3,24.9111,94.4759,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,between Maku village and Kamjong sub division
7390,3,24.4265,94.1913,2015-08-01 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station
7372,3,25.0634,94.3415,2015-07-31 23:00:00,mudslide,continuous_rain,medium,0,0,Manipur,Naga Gate along the Ukhrul-Imphal route
7364,3,24.819,94.3551,2015-07-31 09:00:00,landslide,continuous_rain,medium,0,0,Manipur,Phungyar road
7276,2,26.1062,91.8717,2015-07-25 09:00:00,landslide,continuous_rain,medium,2,0,Assam,
7279,3,24.9818,93.5142,2015-07-24 00:00:00,mudslide,monsoon,medium,0,0,Manipur,Tamenglong Ward No-IV
7264,3,25.4538,93.9827,2015-07-22 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,22 kms to 30 kms between Sangkungmai and Willong
7267,3,25.3908,94.0926,2015-07-22 00:00:00,landslide,continuous_rain,small,0,0,Manipur,NH-2 between Senapati and Mao
7263,3,25.4477,94.0489,2015-07-22 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,"15 kms from Maram, National Highway-102/A (Maram Peren road)"
7265,3,25.5007,93.9854,2015-07-22 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,Willong-Yangkhullen stretch
7266,3,25.5098,93.8794,2015-07-22 00:00:00,landslide,continuous_rain,medium,0,0,Manipur,Yangkhullen-Tamphung road till Nagaland border
7253,2,24.7979,92.9974,2015-07-22 00:00:00,landslide,continuous_rain,medium,5,0,Assam,Lakhipur
